id,name,company_type,locations,quality,company_size(upper limit),follower_count,high_concept,markets,angellist_url
1194302,Bhubaneswar Buzz,Marketing,Bhubaneswar,0,10,1,Social Media Marketing Startup with Odisha Focus,"Social Media Marketing, Brand Marketing, Promotions",https://angel.co/bhubaneswar-buzz-1
1193791,Rice Bar,Food,Bangalore,0,10,1,Rice Bar ' An exotic Rice Adventure',"Food and Beverages, Specialty Foods, Organic Food",https://angel.co/rice-bar
1193420,vipra,Supply Chain,Bangalore,0,10,1,Creating an efficient supply chain for agriculture,Supply Chain Management,https://angel.co/vipra
1193385,Blackbuck Insights,Big Data,Chennai,0,10,3,Providing cost effective solutions using niche dimension technologies,"Business Intelligence, Big Data Analytics, Data Warehousing",https://angel.co/blackbuck-insights
1193247,toto,Marketing,New Delhi,0,10,1,test,Private Social Networking,https://angel.co/toto-8
1192761,Hiteshi,Software,Bangalore,0,200,1,Turnkey IT Projects,"Mobile, Enterprise Software, Web Design, Mobile Enterprise, Software, Web Development, Mobile Technology, Ecommerce, Website, Wearable Technologies",https://angel.co/hiteshi-1
1192760,ETYZE Healthcare,Healthcare Technology,New Delhi,0,50,2,"Online healthcare services aggregator, Uber for Ambulances","E-Commerce, Heathcare, Mobile Emergency&Health, Digital Health",https://angel.co/etyze-healthcare
1192747,WikiMonks,Media,Visakhapatnam,0,50,1,Multi Platform Media/News/Publishing,"Digital Media, Publishing, News, Technology",https://angel.co/wikimonks
1192505,Liposuction in Delhi,Healthcare Technology,New Delhi,2,30,1,Liposuction in Delhi – Get Set to Get Rid of Unwanted Fat Deposits ,Health Care,https://angel.co/liposuction-in-delhi-1
1192501,Sia Digital Consultancy,Pharmaceuticals,New Delhi,2,10,1,A one stop solution to your Sales Force Effectiveness needs,"Pharmaceuticals, Salesforce Killers",https://angel.co/sia-digital-consultancy
1192372,Ananke Innovations,E-Commerce,Mumbai,3,50,2,Social Networking Book Sharing Mobile App.,"Mobile, Mobile Commerce",https://angel.co/ananke-innovations
1192276,MahaOrganic Farmers Producer Company,Agriculture,Pune,3,50,1,Empowering Farmers & Bring them to main stream ,Agriculture,https://angel.co/mahaorganic-farmers-producer-company
1192261,ROGO,E-Commerce,Hyderabad,3,10,2,"""Refer Online Go Offline"" - best way to shop in store's or city","E-Commerce, Retail, Deals",https://angel.co/rogo-1
1192205,Smart Living Retail,E-Commerce,Bangalore,3,10,1,Storage Solutions for homes,"Retail, E-Commerce Platforms, Trade Platform",https://angel.co/smart-living-retail
1192189,HireSolve,HR,New Delhi,2,50,1,"Ditch resumes, get hired by you real skills.","Recruiting, Human Resources, Technology",https://angel.co/hiresolve
1192127,Geazy Technologies,Services,Chennai,2,10,1,"We build apps and analytics for startups such as Tapcars, Clay6, evPark, JuxtIO","Mobile, Education, Automotive, Testing",https://angel.co/geazy-technologies-1
1192100,Cinebar,Marketing,Pune,3,10,1,The Reel Social Network,Social Network,https://angel.co/cinebar-1
1191976,Aquagenics R&D India,Lifestyle,Bangalore,2,100,1,"Clean, healthy water for improved hair and skin.","Retail, Lifestyle Products, Health and Wellness",https://angel.co/aquagenics-r-d-india
